Sex,Agemos,L,M,S,P5,P10,P25,P50,P75,P90,P95
2,161.5,-1.959372737,18.99660055,0.151126714,15.51402643,16.1201444,17.31071712,18.99660055,21.28431023,24.23529442,26.70852876
2,162.5,-1.9610997,19.04811118,0.151176355,15.55572457,16.16344901,17.35729394,19.04811118,21.34317438,24.30497273,26.78861781
2,163.5,-1.963100496,19.09942105,0.151215094,15.59752218,16.20679934,17.40381205,19.09942105,21.40166456,24.37410579,26.8680813
2,164.5,-1.96537124,19.15051899,0.151243223,15.63940588,16.25018232,17.45025909,19.15051899,21.45977162,24.4426879,26.94691749
2,165.5,-1.967907983,19.20139397,0.151261042,15.68136213,16.2935848,17.4966227,19.20139397,21.51748666,24.51071375,27.02512521
2,166.5,-1.970706706,19.25203503,0.151268855,15.72337724,16.33699348,17.54289048,19.25203503,21.57480102,24.57817846,27.10270382
2,167.5,-1.973763307,19.30243131,0.151266974,15.76543738,16.38039498,17.58905003,19.30243131,21.63170632,24.64507758,27.17965324
2,168.5,-1.977073595,19.35257209,0.151255713,15.80752854,16.42377582,17.63508894,19.35257209,21.68819441,24.71140708,27.25597392
2,169.5,-1.980633277,19.40244671,0.151235395,15.84963659,16.46712239,17.68099474,19.40244671,21.74425743,24.77716335,27.33166687
2,170.5,-1.984437954,19.45204465,0.151206347,15.89174721,16.51042098,17.72675499,19.45204465,21.79988774,24.8423432,27.40673363
2,171.5,-1.988483106,19.50135548,0.151168902,15.93384595,16.55365778,17.7723572,19.50135548,21.855078,24.90694389,27.4811763
2,172.5,-1.992764085,19.55036888,0.151123398,15.97591819,16.59681886,17.81778887,19.55036888,21.90982109,24.97096308,27.55499753
2,173.5,-1.997276103,19.59907464,0.15107018,16.01794916,16.63989017,17.86303751,19.59907464,21.96411019,25.03439887,27.62820049
2,174.5,-2.002014224,19.64746266,0.151009595,16.05992392,16.68285759,17.90809056,19.64746266,22.01793871,25.09724977,27.70078892
2,175.5,-2.00697335,19.69552294,0.150942,16.10182739,16.72570683,17.95293549,19.69552294,22.07130033,25.15951476,27.77276709
2,176.5,-2.012148213,19.7432456,0.150867753,16.14364432,16.76842355,17.99755974,19.7432456,22.12418902,25.22119319,27.84413981
2,177.5,-2.017533363,19.79062086,0.150787221,16.1853593,16.81099326,18.04195071,19.79062086,22.17659899,25.28228489,27.91491246
2,178.5,-2.023123159,19.83763907,0.150700774,16.22695676,16.85340136,18.08609581,19.83763907,22.22852472,25.3427901,27.98509093
2,179.5,-2.028911755,19.88429066,0.150608788,16.26842096,16.89563315,18.12998242,19.88429066,22.27996095,25.40270949,28.05468167
