Sex,Agemos,L,M,S,P5,P10,P25,P50,P75,P90,P95
2,146.5,1.344443447,152.6380955,0.047844442,140.4554388,143.1766639,147.6844892,152.6380955,157.5369262,161.9015501,164.4942764
2,147.5,1.356437773,153.1929631,0.047443362,141.064036,143.7740547,148.2622979,153.1929631,158.0676887,162.4096857,164.9884705
2,148.5,1.362602695,153.7317031,0.04703243,141.6640898,144.3606631,148.8263158,153.7317031,158.5809683,162.8998985,165.4648118
2,149.5,1.363085725,154.2529332,0.046616026,142.2529855,144.9341866,149.3747099,154.2529332,159.0757636,163.3714746,165.9227345
2,150.5,1.358162799,154.755501,0.046198356,142.8282787,145.4925187,149.9058698,154.755501,159.5512908,163.8238923,166.3618445
2,151.5,1.348227142,155.2384904,0.04578335,143.3877452,146.0337866,150.4184277,155.2384904,160.006982,164.2568163,166.7819123
2,152.5,1.333772923,155.7012216,0.045374597,143.9294218,146.5563788,150.9112703,155.7012216,160.4424774,164.6700879,167.1828627
2,153.5,1.315374704,156.1432438,0.044975281,144.4516354,147.0589626,151.3835413,156.1432438,160.8576139,165.0637118,167.5647631
2,154.5,1.293664024,156.564323,0.044588148,144.9530205,147.5404925,151.8346381,156.564323,161.252409,165.4378408,167.9278093
2,155.5,1.269304678,156.9644258,0.044215488,145.4325259,148.0002085,152.2642007,156.9644258,161.6270427,165.7927589,168.2723104
2,156.5,1.242968236,157.3436995,0.043859135,145.8894106,148.437627,152.6720956,157.3436995,161.9818377,166.1288638,168.5986736
2,157.5,1.21531127,157.7024507,0.04352048,146.3232308,148.8525242,153.0583966,157.7024507,162.317239,166.4466488,168.9073892
2,158.5,1.186955477,158.0411233,0.043200497,146.7338197,149.2449147,153.4233611,158.0411233,162.633793,166.7466859,169.1990151
2,159.5,1.158471522,158.3602756,0.042899776,147.1212613,149.6150259,153.7674066,158.3602756,162.9321282,167.0296087,169.474163
2,160.5,1.130367088,158.6605588,0.042618565,147.4858611,149.9632704,154.0910856,158.6605588,163.2129368,167.2960978,169.7334849
2,161.5,1.103079209,158.9426964,0.042356812,147.8281145,150.2902174,154.3950608,158.9426964,163.476957,167.5468664,169.9776618
2,162.5,1.076970655,159.2074654,0.042114211,148.148675,150.5965645,154.6800825,159.2074654,163.7249588,167.7826481,170.207392
2,163.5,1.052329922,159.455679,0.041890247,148.4483225,150.8831097,154.9469659,159.455679,163.9577297,168.0041861,170.4233822
2,164.5,1.029374161,159.688172,0.04168424,148.7279342,151.1507267,155.1965718,159.688172,164.1760637,168.2122241,170.6263392
2,165.5,1.008254396,159.9057871,0.041495379,148.9884574,151.4003414,155.4297888,159.9057871,164.3807514,168.4074983,170.8169629
2,166.5,0.989062282,160.1093647,0.041322765,149.2308852,151.6329115,155.6475179,160.1093647,164.572572,168.5907313,170.9959407
2,167.5,0.971837799,160.299733,0.041165437,149.4562355,151.8494087,155.8506598,160.299733,164.7522868,168.7626268,171.1639423
2,168.5,0.95657215,160.4776996,0.041022401,149.6655332,152.0508033,156.0401024,160.4776996,164.920633,168.9238654,171.3216174
2,169.5,0.94324228,160.6440526,0.040892651,149.8597926,152.238053,156.2167175,160.6440526,165.0783248,169.0751026,171.469589
2,170.5,0.931767062,160.7995428,0.040775193,150.0400107,152.4120911,156.3813442,160.7995428,165.2260411,169.2169651,171.6084579
